,0
0,1075
1,1076
2,1077
3,1125
4,1126
5,1127
6,1128
7,1129
8,1130
9,1131
10,1132
11,1172
12,1173
13,1174
14,1175
15,1176
16,1177
17,1178
18,1179
19,1180
20,1181
21,1182
22,1183
23,1184
24,1221
25,1222
26,1223
27,1224
28,1225
29,1227
30,1228
31,1229
32,1230
33,1231
34,1232
35,1233
36,1234
37,1235
38,1272
39,1273
40,1274
41,1278
42,1279
43,1280
44,1281
45,1282
46,1283
47,1284
48,1285
49,1286
50,1287
51,1326
52,1327
53,1331
54,1332
55,1333
56,1334
57,1335
58,1336
59,1337
60,1338
61,1339
62,1376
63,1377
64,1378
65,1380
66,1382
67,1383
68,1384
69,1385
70,1386
71,1387
72,1388
73,1389
74,1390
75,1426
76,1431
77,1434
78,1435
79,1436
80,1437
81,1438
82,1439
83,1441
84,1442
85,1480
86,1482
87,1483
88,1530
89,1532
90,1533
91,1580
92,1630
93,1684
94,1733
95,1734
96,1783
97,2068
98,2069
99,2118
100,2119
101,2168
